lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date,total_people,total_days,customer_type_Group,customer_type_Transient,customer_type_Transient-Party,deposit_type_Non Refund,deposit_type_Refundable,meal_FB,meal_HB,meal_SC,meal_Undefined,hotel_Resort Hotel,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,continent_America,continent_Asia,continent_Europa,continent_Oceania
277,2016,9,7,1,2,2,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,100.0,0,0,2016-04-04,2.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
286,2016,8,11,0,4,2,0.0,0,0,0,0,0,0,0,30.0,-1.0,176,101.0,0,0,2016-01-22,2.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,2016,1,23,0,1,3,0.0,0,0,0,0,3,3,0,-1.0,-1.0,0,225.0,0,2,2016-08-24,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
196,2016,10,29,2,5,2,2.0,0,0,0,0,6,6,0,240.0,-1.0,0,96.0,0,0,2016-11-05,4.0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
232,2016,9,26,2,1,2,0.0,0,0,0,0,0,0,0,11.0,-1.0,0,30.0,0,0,2016-10-18,2.0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
350,2016,6,17,0,2,2,0.0,0,0,0,0,0,0,0,29.0,-1.0,0,140.0,0,0,2015-08-11,2.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
10,2017,7,18,0,1,2,1.0,0,0,0,0,5,4,0,-1.0,-1.0,0,75.0,0,0,2017-03-19,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
252,2016,1,14,2,3,2,2.0,0,0,0,0,1,1,2,9.0,-1.0,0,163.63,0,1,2016-07-20,4.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
12,2017,8,9,0,4,2,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,187.5,0,1,2017-05-13,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
71,2016,10,22,1,1,2,0.0,0,0,0,0,3,3,0,39.0,-1.0,0,142.5,0,0,2016-10-24,2.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
391,2016,5,27,0,2,2,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,65.0,0,0,2015-12-09,2.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
291,2016,1,19,0,2,2,0.0,0,0,0,0,0,0,0,39.0,-1.0,0,115.0,0,0,2016-02-23,2.0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
254,2015,11,12,2,2,2,0.0,0,0,0,0,0,0,0,15.0,-1.0,0,36.0,0,0,2015-09-16,2.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
20,2016,11,25,2,0,2,0.0,0,0,0,0,0,0,0,138.0,-1.0,0,85.5,0,1,2016-09-27,2.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0,2015,10,17,1,1,2,0.0,0,0,0,0,3,3,0,-1.0,-1.0,0,73.0,1,0,2015-10-19,2.0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,2016,5,17,1,0,2,1.0,0,1,0,0,3,3,0,-1.0,-1.0,0,169.0,0,0,2016-07-18,3.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
10,2016,5,22,0,1,2,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,126.0,0,0,2016-07-13,2.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
72,2016,0,29,2,2,2,0.0,0,0,0,0,3,5,0,240.0,-1.0,0,101.25,0,0,2016-05-03,2.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,2016,10,17,1,2,1,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,50.0,0,1,2016-10-20,1.0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,2016,3,26,0,1,2,0.0,0,0,0,0,0,0,2,-1.0,203.0,0,31.0,0,1,2016-02-27,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
253,2016,8,4,0,4,2,0.0,0,0,0,0,0,0,0,58.0,-1.0,55,90.0,0,0,2015-10-19,2.0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
37,2017,3,10,2,2,2,2.0,0,0,0,0,5,5,0,9.0,-1.0,0,142.8,0,0,2017-01-11,4.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
133,2016,5,26,0,3,3,1.0,0,0,0,0,5,5,0,14.0,-1.0,0,180.9,1,1,2016-07-29,4.0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
122,2016,0,15,0,2,2,0.0,0,0,0,0,0,0,0,151.0,-1.0,56,85.0,0,0,2016-04-01,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
79,2016,2,9,1,2,3,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,126.0,0,2,2016-09-22,3.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
39,2016,9,21,1,2,2,0.0,0,0,0,0,0,0,0,28.0,-1.0,0,72.0,0,0,2016-11-24,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
82,2017,8,3,0,3,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,108.0,0,0,2017-04-19,2.0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
52,2017,6,28,2,4,2,0.0,0,0,0,0,3,3,0,8.0,-1.0,0,150.0,0,1,2017-07-04,2.0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
26,2016,6,1,0,3,2,0.0,1,0,0,0,3,3,1,9.0,-1.0,0,153.67,0,2,2016-06-04,3.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,2016,10,17,1,0,1,0.0,0,0,0,0,0,0,0,-1.0,200.0,0,45.0,0,0,2016-10-18,1.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
338,2016,10,7,1,2,2,0.0,0,0,0,0,0,0,0,12.0,-1.0,68,90.67,0,1,2016-10-10,2.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,2017,7,9,0,1,1,0.0,0,0,0,0,0,0,0,83.0,-1.0,0,78.4,0,0,2017-03-10,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
135,2016,9,10,2,3,2,0.0,0,0,0,0,0,0,0,240.0,-1.0,0,37.8,0,0,2016-08-31,2.0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
257,2015,10,4,2,3,2,0.0,0,0,0,0,0,0,0,7.0,-1.0,0,65.29,0,2,2015-10-09,2.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
454,2016,10,6,0,1,1,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,59.0,0,0,2015-10-21,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
16,2015,1,7,2,3,2,0.0,0,0,0,0,4,4,0,240.0,-1.0,0,221.0,0,2,2015-08-12,2.0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
37,2016,9,10,1,3,2,0.0,0,0,0,0,0,0,0,240.0,-1.0,0,37.8,0,0,2016-10-26,2.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
284,2017,6,20,2,8,1,0.0,0,0,0,0,0,0,1,8.0,-1.0,0,68.6,1,0,2017-06-30,1.0,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,2016,9,10,0,2,2,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,0.0,0,0,2016-11-12,2.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
468,2016,8,12,0,2,2,0.0,0,0,0,0,0,0,0,249.0,-1.0,0,67.0,0,0,2016-03-04,2.0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
77,2017,6,12,1,3,2,0.0,0,0,0,0,3,3,0,28.0,-1.0,0,98.1,0,0,2017-06-16,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
44,2017,0,20,1,3,1,0.0,0,0,0,0,0,0,2,6.0,-1.0,0,75.0,0,0,2017-04-24,1.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
75,2017,8,20,2,1,2,0.0,0,0,0,0,0,0,0,229.0,-1.0,0,90.0,0,0,2017-04-10,2.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
88,2017,8,7,2,2,2,0.0,0,0,0,0,0,0,0,27.0,-1.0,0,89.1,0,0,2017-02-08,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
149,2015,5,8,0,4,2,0.0,0,0,1,0,0,0,0,9.0,-1.0,0,76.5,0,2,2015-06-29,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
146,2016,10,31,1,2,2,0.0,0,0,0,0,3,3,0,-1.0,-1.0,0,100.08,0,0,2016-11-03,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
46,2017,4,1,2,0,2,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,65.0,0,0,2016-12-21,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
97,2015,10,5,1,3,1,0.0,0,0,0,0,0,0,0,29.0,-1.0,0,140.0,0,0,2015-07-03,1.0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
35,2017,1,29,0,3,2,0.0,0,0,0,0,0,2,1,250.0,-1.0,0,185.0,0,1,2017-08-29,2.0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
62,2017,0,6,0,3,1,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,135.0,0,0,2017-02-03,1.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
249,2016,10,14,2,5,2,0.0,0,0,0,0,0,0,0,273.0,-1.0,0,60.36,0,0,2016-09-29,2.0,7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
78,2015,1,11,0,5,2,0.0,0,0,0,0,6,6,0,240.0,-1.0,0,214.0,0,0,2015-06-25,2.0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,2016,6,28,0,1,1,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,133.0,0,2,2016-06-29,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
21,2017,3,27,1,3,2,1.0,0,0,0,0,0,0,0,14.0,-1.0,0,108.0,0,2,2017-03-03,3.0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
60,2016,6,21,0,3,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,99.9,0,1,2016-06-24,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
68,2017,0,9,2,2,2,0.0,0,0,0,0,3,3,0,240.0,-1.0,0,90.0,0,0,2017-02-19,2.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
141,2016,6,12,2,5,3,1.0,0,0,0,0,7,7,0,240.0,-1.0,0,171.0,0,0,2016-02-03,4.0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
31,2016,4,10,0,0,2,0.0,0,0,0,0,0,0,0,240.0,-1.0,0,0.0,0,1,2016-01-10,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
13,2016,7,28,1,1,2,2.0,0,0,0,5,6,6,0,250.0,-1.0,0,87.0,1,0,2016-03-30,4.0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
75,2017,6,5,1,2,3,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,198.0,0,1,2017-06-08,3.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
126,2016,11,15,2,3,2,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,147.1,0,4,2016-09-20,2.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
235,2017,3,19,2,1,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,90.0,0,1,2016-07-04,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
8,2015,10,20,0,3,1,0.0,0,0,0,0,0,0,0,7.0,-1.0,0,92.4,0,0,2015-10-23,1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5,2015,11,27,1,0,2,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,170.0,0,0,2015-09-28,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,2016,2,17,2,2,2,0.0,0,0,0,0,0,0,0,306.0,-1.0,0,27.6,0,0,2016-12-21,2.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,2016,3,5,0,1,2,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,0.0,0,0,2016-02-06,2.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
86,2016,2,8,0,3,2,1.0,0,0,0,0,0,0,0,9.0,-1.0,0,122.0,0,0,2016-09-13,3.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
39,2015,1,14,0,2,2,0.0,0,0,0,0,0,3,1,6.0,-1.0,0,109.0,0,0,2015-08-16,2.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
189,2016,8,19,0,3,2,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,65.0,0,0,2016-05-22,2.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
